,matches,picks,position,bans,teams,kills,deaths,assists,gold,ten_min_gold,ten_min_lane_opponent_gold,challenges,win
0,NA1_4256558228,Volibear,TOP,Zed,blue,8,6,10,13583,4837,2706,"{'deathsByEnemyChamps': 6, 'hadAfkTeammate': 0, 'kda': 3, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.22687485254078002, 'visionScoreAdvantageLaneOpponent': 1.53428316116333}",False
1,NA1_4256558228,Hecarim,JUNGLE,Blitzcrank,blue,5,9,13,12150,4138,4241,"{'deathsByEnemyChamps': 9, 'hadAfkTeammate': 0, 'kda': 2, 'laningPhaseGoldExpAdvantage': -0.020553708076477002, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.180792041210475, 'visionScoreAdvantageLaneOpponent': 0.528596520423889}",False
2,NA1_4256558228,Vex,MIDDLE,Fiora,blue,5,5,2,9590,2936,3103,"{'deathsByEnemyChamps': 5, 'hadAfkTeammate': 0, 'kda': 1.4, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.16280231422055302, 'visionScoreAdvantageLaneOpponent': 1.024097323417663}",False
3,NA1_4256558228,Ezreal,BOTTOM,Veigar,blue,8,3,10,12879,3615,3432,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 6, 'laningPhaseGoldExpAdvantage': -0.09838330745697, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.37085456788112203, 'visionScoreAdvantageLaneOpponent': 1.147077679634094}",False
4,NA1_4256558228,Sona,UTILITY,Viego,blue,1,4,17,7314,2436,2542,"{'deathsByEnemyChamps': 4, 'hadAfkTeammate': 0, 'kda': 4.5, 'laningPhaseGoldExpAdvantage': -0.09656298160552901, 'maxLevelLeadLaneOpponent': 0, 'teamDamagePercentage': 0.058676224147067, 'visionScoreAdvantageLaneOpponent': 1.757589936256408}",False
5,NA1_4256558228,Garen,TOP,Pyke,red,6,6,5,14130,2706,4837,"{'deathsByEnemyChamps': 6, 'hadAfkTeammate': 0, 'kda': 1.833333333333333, 'laningPhaseGoldExpAdvantage': -0.25462234020233104, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.16231757702927502, 'visionScoreAdvantageLaneOpponent': 0.6517701745033261}",True
6,NA1_4256558228,Kindred,JUNGLE,Kayn,red,11,9,10,13558,4241,4138,"{'deathsByEnemyChamps': 9, 'hadAfkTeammate': 0, 'kda': 2.333333333333333, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.315609704735881, 'visionScoreAdvantageLaneOpponent': 1.891802072525024}",True
7,NA1_4256558228,Ahri,MIDDLE,Xerath,red,5,3,11,10470,3103,2936,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 5.333333333333333, 'laningPhaseGoldExpAdvantage': -0.013007223606109002, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.16431930095357, 'visionScoreAdvantageLaneOpponent': 0.976469695568084}",True
8,NA1_4256558228,Aphelios,BOTTOM,Fiora,red,5,6,5,13681,3432,3615,"{'deathsByEnemyChamps': 6, 'hadAfkTeammate': 0, 'kda': 1.666666666666666, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.22385836559803002, 'visionScoreAdvantageLaneOpponent': 0.871780574321746}",True
9,NA1_4256558228,Yuumi,UTILITY,Akshan,red,0,3,19,7925,2542,2436,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 6.333333333333333, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.133895051683242, 'visionScoreAdvantageLaneOpponent': 0.568960964679718}",True
